,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,REPORTED_DATE,GEO_LON,GEO_LAT,NEIGHBORHOOD_ID,MARIJUANA?
501693,2018738863.0,2018740000000000.0,2203,burglary-business-by-force,burglary,10/29/18 3:45,10/29/18 4:06,-105.0182054,39.711366600000005,valverde,MARIJUANA
502823,2018743392.0,2018740000000000.0,2203,burglary-business-by-force,burglary,10/30/18 22:00,10/30/18 23:41,-104.99831129999998,39.7117941,baker,MARIJUANA
505180,2018695247.0,2018700000000000.0,3560,drug-marijuana-sell,drug-alcohol,10/10/18 15:30,10/10/18 17:43,-105.0483629,39.7288584,villa-park,MARIJUANA
506780,2018697734.0,2018700000000000.0,3560,drug-marijuana-sell,drug-alcohol,10/11/18 13:30,10/11/18 16:23,-104.82031490000001,39.7773172,montbello,MARIJUANA
507520,2018695247.0,2018700000000000.0,3599,drug-pcs-other-drug,drug-alcohol,10/10/18 15:30,10/10/18 17:43,-105.0483629,39.7288584,villa-park,MARIJUANA
508550,2018690586.0,2018690000000000.0,2999,criminal-mischief-other,public-disorder,10/7/18 19:00,10/8/18 14:25,-104.95884939999999,39.7757706,elyria-swansea,MARIJUANA
508625,2018745233.0,2018750000000000.0,2203,burglary-business-by-force,burglary,10/31/18 16:52,10/31/18 19:00,-104.93962649999999,39.785585499999996,northeast-park-hill,MARIJUANA
509059,2018695009.0,2018700000000000.0,2203,burglary-business-by-force,burglary,10/8/18 2:00,10/10/18 11:56,-104.9879508,39.6804804,overland,MARIJUANA
509081,2018692118.0,2018690000000000.0,3562,drug-marijuana-possess,drug-alcohol,10/9/18 12:20,10/9/18 15:13,-104.8940882,39.7859172,stapleton,MARIJUANA
509144,2018699043.0,2018700000000000.0,2203,burglary-business-by-force,burglary,10/12/18 0:30,10/12/18 1:12,-105.04873459999999,39.699262899999994,westwood,MARIJUANA
509916,2018699146.0,2018700000000000.0,2999,criminal-mischief-other,public-disorder,10/12/18 1:35,10/12/18 1:59,-104.94169550000001,39.7094471,belcaro,MARIJUANA
510711,2018746080.0,2018750000000000.0,2203,burglary-business-by-force,burglary,11/1/18 5:00,11/1/18 9:19,-104.8486305,39.794739299999996,montbello,MARIJUANA
511134,20185004644.0,2.0185e+16,3563,drug-marijuana-cultivation,drug-alcohol,10/9/18 15:00,10/9/18 15:00,-105.0222721,39.722792600000005,valverde,MARIJUANA
512284,2018746423.0,2018750000000000.0,2203,burglary-business-by-force,burglary,11/1/18 4:49,11/1/18 11:05,-104.84507140000001,39.7703994,stapleton,MARIJUANA
515428,2018758199.0,2018760000000000.0,2203,burglary-business-by-force,burglary,11/4/18 4:15,11/6/18 12:30,-105.02021380000001,39.7290133,sun-valley,MARIJUANA
